adju_geo_region_name,geo_dma_bespoke,adju_geo_city
MADRID,MADRID,NAVACERRADA
MADRID,MADRID,ROBLEDILLO_DE_LA_JARA
NAVARRA,NAVARRA,ARBEIZA
NAVARRA,NAVARRA,VILLAFRANCA
ASTURIAS,ASTURIAS,CARROCERA
ORENSE,GALICIA,CUALEDRO
PONTEVEDRA,GALICIA,A_ARROTEA
PONTEVEDRA,GALICIA,O_GROVE
PONTEVEDRA,GALICIA,PORTELA
CANTABRIA,CANTABRIA,VIONO
ALAVA,PAIS_VASCO,MURGUIA
NAVARRA,NAVARRA,BIURRUN
BADAJOZ,EXTREMADURA,SEGURA_DE_LEON
CORDOBA,ANDALUCIA,CARCABUEY
GRANADA,ANDALUCIA,ARMILLA
GRANADA,ANDALUCIA,MECINA_ALFAHAR
GUADALAJARA,CASTILLA_LA_MANCHA,MEMBRILLERA
MADRID,MADRID,NAVARREDONDA
NAVARRA,NAVARRA,SALDIAS
SEVILLA,ANDALUCIA,BRENES
TARRAGONA,CATALUNA_,HORTA_DE_SANT_JOAN
TARRAGONA,CATALUNA_,LA_PALMA_DEBRE
TOLEDO,CASTILLA_LA_MANCHA,TORRIJOS
VALLADOLID,CASTILLA_Y_LEON,PENAFIEL
ZARAGOZA,ARAGON,LA_JOYOSA
ZAMORA,CASTILLA_Y_LEON,LOBEZNOS
LAS_PALMAS,CANARIAS,BUENAVISTA
ALICANTE,VALENCIA,CATI
ALMERIA,ANDALUCIA,RIOJA
